Date_ID,Month,Year,Day,Day Type,Christmas Period,Easter Period
1,12,2024,Friday,Weekday,Yes,No
2,12,2024,Friday,Weekday,No,No
3,12,2024,Friday,Weekend,No,No
4,12,2024,Monday,Weekend,No,No
5,12,2024,Monday,Weekday,No,No
6,12,2024,Monday,Weekday,Yes,No
7,12,2024,Saturday,Weekend,No,No
8,12,2024,Saturday,Weekend,Yes,No
9,12,2024,Sunday,Weekend,No,No
10,12,2024,Thursday,Weekday,No,No
11,12,2024,Thursday,Weekday,Yes,No
12,12,2024,Tuesday,Weekday,Yes,No
13,12,2024,Tuesday,Weekday,No,No
14,12,2024,Wednesday,Weekday,Yes,No
15,12,2024,Wednesday,Weekday,No,No
16,11,2024,Friday,Weekday,No,No
17,11,2024,Friday,Weekend,No,No
18,11,2024,Monday,Weekday,No,No
19,11,2024,Saturday,Weekend,No,No
20,11,2024,Sunday,Weekend,No,No
21,11,2024,Thursday,Weekday,No,No
22,11,2024,Tuesday,Weekday,No,No
23,11,2024,Wednesday,Weekday,No,No
24,10,2024,Friday,Weekday,No,No
25,10,2024,Friday,Weekend,No,No
26,10,2024,Monday,Weekend,No,No
27,10,2024,Monday,Weekday,No,No
28,10,2024,Saturday,Weekend,No,No
29,10,2024,Sunday,Weekend,No,No
30,10,2024,Thursday,Weekday,No,No
31,10,2024,Tuesday,Weekday,No,No
32,10,2024,Wednesday,Weekday,No,No
33,9,2024,Friday,Weekday,No,No
34,9,2024,Friday,Weekend,No,No
35,9,2024,Monday,Weekday,No,No
36,9,2024,Saturday,Weekend,No,No
37,9,2024,Sunday,Weekend,No,No
38,9,2024,Thursday,Weekday,No,No
39,9,2024,Tuesday,Weekday,No,No
40,9,2024,Wednesday,Weekday,No,No
41,8,2024,Friday,Weekday,No,No
42,8,2024,Friday,Weekend,No,No
43,8,2024,Monday,Weekend,No,No
44,8,2024,Monday,Weekday,No,No
45,8,2024,Saturday,Weekend,No,No
46,8,2024,Sunday,Weekend,No,No
47,8,2024,Thursday,Weekday,No,No
48,8,2024,Tuesday,Weekday,No,No
49,8,2024,Wednesday,Weekday,No,No
50,7,2024,Friday,Weekday,No,No
51,7,2024,Friday,Weekend,No,No
52,7,2024,Monday,Weekday,No,No
53,7,2024,Saturday,Weekend,No,No
54,7,2024,Sunday,Weekend,No,No
55,7,2024,Thursday,Weekday,No,No
56,7,2024,Tuesday,Weekday,No,No
57,7,2024,Wednesday,Weekday,No,No
58,6,2024,Friday,Weekday,No,No
59,6,2024,Friday,Weekend,No,No
60,6,2024,Monday,Weekend,No,No
61,6,2024,Monday,Weekday,No,No
62,6,2024,Saturday,Weekend,No,No
63,6,2024,Sunday,Weekend,No,No
64,6,2024,Thursday,Weekday,No,No
65,6,2024,Tuesday,Weekday,No,No
66,6,2024,Wednesday,Weekday,No,No
67,5,2024,Friday,Weekday,No,No
68,5,2024,Friday,Weekend,No,No
69,5,2024,Monday,Weekday,No,No
70,5,2024,Saturday,Weekend,No,No
71,5,2024,Sunday,Weekend,No,No
72,5,2024,Thursday,Weekday,No,No
73,5,2024,Tuesday,Weekday,No,No
74,5,2024,Wednesday,Weekday,No,No
75,4,2024,Friday,Weekday,No,No
76,4,2024,Friday,Weekend,No,No
77,4,2024,Monday,Weekend,No,No
78,4,2024,Monday,Weekday,No,Yes
79,4,2024,Monday,Weekday,No,No
80,4,2024,Saturday,Weekend,No,No
81,4,2024,Sunday,Weekend,No,No
82,4,2024,Thursday,Weekday,No,No
83,4,2024,Tuesday,Weekday,No,No
84,4,2024,Wednesday,Weekday,No,No
85,3,2024,Friday,Weekday,No,No
86,3,2024,Friday,Weekday,No,Yes
87,3,2024,Friday,Weekend,No,No
88,3,2024,Friday,Weekend,No,Yes
89,3,2024,Monday,Weekend,No,No
90,3,2024,Monday,Weekday,No,No
91,3,2024,Saturday,Weekend,No,No
92,3,2024,Saturday,Weekend,No,Yes
93,3,2024,Sunday,Weekend,No,No
94,3,2024,Sunday,Weekend,No,Yes
95,3,2024,Thursday,Weekday,No,No
96,3,2024,Thursday,Weekday,No,Yes
97,3,2024,Tuesday,Weekday,No,No
98,3,2024,Wednesday,Weekday,No,No
99,2,2024,Friday,Weekday,No,No
100,2,2024,Friday,Weekend,No,No
101,2,2024,Monday,Weekend,No,No
102,2,2024,Monday,Weekday,No,No
103,2,2024,Saturday,Weekend,No,No
104,2,2024,Sunday,Weekend,No,No
105,2,2024,Thursday,Weekday,No,No
106,2,2024,Tuesday,Weekday,No,No
107,2,2024,Wednesday,Weekday,No,No
108,1,2024,Friday,Weekday,No,No
109,1,2024,Friday,Weekend,No,No
110,1,2024,Monday,Weekend,No,No
111,1,2024,Monday,Weekday,Yes,No
112,1,2024,Monday,Weekday,No,No
113,1,2024,Saturday,Weekend,No,No
114,1,2024,Sunday,Weekend,No,No
115,1,2024,Thursday,Weekday,No,No
116,1,2024,Tuesday,Weekday,No,No
117,1,2024,Tuesday,Weekday,Yes,No
118,1,2024,Wednesday,Weekday,No,No
119,1,2024,Wednesday,Weekday,Yes,No
120,12,2023,Friday,Weekday,Yes,No
121,12,2023,Friday,Weekday,No,No
122,12,2023,Friday,Weekend,No,No
123,12,2023,Friday,Weekend,Yes,No
124,12,2023,Monday,Weekday,Yes,No
125,12,2023,Monday,Weekday,No,No
126,12,2023,Saturday,Weekend,Yes,No
127,12,2023,Saturday,Weekend,No,No
128,12,2023,Sunday,Weekend,No,No
129,12,2023,Sunday,Weekend,Yes,No
130,12,2023,Thursday,Weekday,No,No
131,12,2023,Thursday,Weekday,Yes,No
132,12,2023,Tuesday,Weekday,No,No
133,12,2023,Tuesday,Weekday,Yes,No
134,12,2023,Wednesday,Weekday,Yes,No
135,12,2023,Wednesday,Weekday,No,No
136,11,2023,Friday,Weekday,No,No
137,11,2023,Friday,Weekend,No,No
138,11,2023,Monday,Weekday,No,No
139,11,2023,Saturday,Weekend,No,No
140,11,2023,Sunday,Weekend,No,No
141,11,2023,Thursday,Weekday,No,No
142,11,2023,Tuesday,Weekday,No,No
143,11,2023,Wednesday,Weekday,No,No
144,10,2023,Friday,Weekday,No,No
145,10,2023,Friday,Weekend,No,No
146,10,2023,Monday,Weekend,No,No
147,10,2023,Monday,Weekday,No,No
148,10,2023,Saturday,Weekend,No,No
149,10,2023,Sunday,Weekend,No,No
150,10,2023,Thursday,Weekday,No,No
151,10,2023,Tuesday,Weekday,No,No
152,10,2023,Wednesday,Weekday,No,No
153,9,2023,Friday,Weekday,No,No
154,9,2023,Friday,Weekend,No,No
155,9,2023,Monday,Weekend,No,No
156,9,2023,Monday,Weekday,No,No
