Crash_ID,Date_ID,Time_ID,Location_ID,Vehicle_ID,Speed_ID,Gender_ID,Age_ID,Road_User_ID,Crashtype_ID,Fatalities
1,1,1,1,1,10,1,1,1,1,1
2,2,2,1,1,3,2,2,1,1,1
3,1,3,2,1,7,2,3,1,2,1
4,2,4,1,1,10,2,4,1,2,1
5,2,5,3,1,10,2,5,2,2,1
6,1,6,4,1,10,1,6,3,1,1
7,2,7,5,1,2,1,7,1,1,1
8,3,8,3,1,6,2,8,2,2,1
9,3,9,2,1,7,1,2,3,2,1
10,3,10,2,1,10,2,9,1,2,1
11,3,11,4,1,7,2,10,1,1,1
12,3,12,1,1,5,1,11,4,1,1
13,3,13,1,2,9,1,10,1,2,1
14,4,14,4,1,10,1,5,1,1,1
15,5,15,3,1,3,1,1,4,1,1
16,5,16,1,2,6,1,12,1,1,1
17,6,17,1,1,6,1,13,4,1,1
18,5,18,1,1,10,1,14,1,2,1
19,6,19,3,1,10,1,15,1,2,1
20,5,20,1,1,10,1,14,1,1,1
21,6,21,5,1,9,2,16,1,1,1
22,5,22,1,1,1,2,17,4,1,1
23,6,23,5,1,6,1,3,4,1,1
24,6,24,5,1,9,2,18,1,1,2
25,6,24,5,1,9,2,10,1,1,2
26,7,25,1,3,9,1,4,1,2,1
27,7,1,3,1,10,1,12,1,1,1
28,7,26,5,1,3,1,19,2,1,1
29,7,27,5,1,6,1,20,1,1,1
30,7,28,4,1,10,1,7,3,2,1
31,8,29,4,1,9,2,21,1,2,2
32,8,29,4,1,9,2,22,2,2,2
33,7,30,5,4,9,2,23,1,1,1
34,8,31,1,1,7,1,7,3,2,1
35,8,19,3,1,10,2,22,2,2,2
36,8,19,3,1,10,1,24,1,2,2
37,8,19,3,1,7,1,25,3,2,1
38,8,32,4,1,10,1,9,3,2,1
39,7,33,3,4,5,1,26,3,2,1
40,7,34,5,1,3,1,27,3,1,1
41,7,35,2,1,10,2,15,2,1,1
42,7,36,1,1,10,1,5,5,2,2
43,7,36,1,1,10,2,28,1,2,2
44,7,37,5,1,9,1,10,3,1,1
45,7,38,5,1,6,1,29,3,1,1
46,7,39,1,1,3,1,30,1,1,1
47,7,40,5,1,5,1,14,3,1,1
48,9,41,1,2,9,1,16,1,2,1
49,9,1,3,1,10,1,31,3,1,1
50,9,42,4,1,7,2,11,4,1,1
51,9,43,1,1,7,2,32,4,1,1
52,9,44,1,1,7,2,33,1,2,1
53,9,45,1,1,10,1,24,1,1,1
54,9,46,3,1,6,1,29,3,2,1
55,9,47,5,1,1,2,34,4,1,1
56,9,48,4,1,10,2,1,1,1,1
57,9,49,1,1,2,1,16,3,1,1
58,9,5,3,1,10,2,29,1,1,2
59,9,5,3,1,10,2,21,2,1,2
60,9,50,5,1,3,1,35,3,1,1
61,9,51,1,1,10,1,10,3,2,1
62,9,52,1,1,6,2,36,1,2,1
63,9,22,1,1,10,1,4,1,2,1
64,9,53,5,1,3,1,37,2,1,1
65,9,54,1,1,10,1,38,1,2,1
66,9,55,1,1,10,1,19,1,1,2
67,9,55,1,1,10,1,19,2,1,2
68,9,12,3,1,6,1,39,1,1,2
69,9,12,3,1,6,2,40,2,1,2
70,9,56,5,1,5,1,41,3,1,1
71,10,57,1,1,6,2,19,1,1,1
72,11,58,5,1,9,1,23,1,1,1
73,10,46,3,2,10,1,42,2,2,1
74,10,59,1,1,10,2,43,2,2,1
75,12,1,3,1,6,1,42,2,1,1
76,13,60,5,1,6,2,44,4,1,1
77,12,61,1,2,9,2,27,4,1,1
78,12,62,3,1,6,2,45,1,1,1
79,13,63,4,1,10,1,46,3,1,1
80,13,19,3,1,6,1,18,1,1,1
81,13,33,3,1,3,1,15,1,1,1
82,13,64,5,1,9,2,41,1,1,1
83,12,65,4,1,10,1,29,3,1,1
84,13,66,1,5,3,1,47,1,2,1
85,13,67,1,6,7,1,48,3,2,1
86,13,68,1,2,10,1,41,1,2,1
87,14,69,3,1,10,1,14,4,1,1
88,15,1,3,1,2,1,20,1,2,1
89,15,70,1,1,9,2,49,2,1,1
90,15,71,5,1,9,1,31,1,1,1
91,14,22,3,1,3,1,50,1,2,1
92,14,53,1,1,10,1,38,1,1,1
93,16,41,3,2,10,1,51,1,2,1
94,16,72,1,1,10,1,52,1,1,1
95,16,73,6,1,6,2,8,1,2,1
96,16,74,5,1,6,1,53,3,1,1
97,16,15,5,4,10,1,53,1,1,1
98,16,75,3,1,5,1,16,3,1,1
99,16,76,1,1,10,1,54,1,1,1
100,16,77,1,1,10,1,5,3,1,1
101,16,5,3,1,10,1,55,1,1,1
102,16,78,1,1,10,1,40,3,2,1
103,16,79,1,1,9,1,56,1,1,1
104,17,80,3,1,10,1,57,3,1,1
105,17,81,3,1,3,2,58,2,2,1
106,17,82,1,1,6,1,48,1,1,1
107,18,83,3,1,7,1,48,2,1,1
108,18,84,4,1,6,1,56,1,1,1
109,18,85,5,1,9,1,24,1,1,1
110,18,86,1,1,6,1,12,3,2,1
111,18,87,4,1,10,2,57,2,2,2
112,18,87,4,1,10,2,27,2,2,2
113,18,19,3,1,10,1,45,1,1,1
114,18,88,6,2,5,2,54,4,2,1
115,18,89,6,1,10,2,50,1,2,1
116,18,90,6,1,3,1,46,5,2,1
