Crash ID,Crash Type,Number Fatalities
20241115,Single,1
20241125,Single,1
20246013,Single,1
20241002,Single,1
20243185,Single,1
20244016,Single,1
20243168,Single,1
20246003,Single,1
20246001,Single,1
20244081,Single,1
20241087,Single,1
20241054,Single,1
20244042,Single,1
20243246,Single,1
20241101,Single,1
20241216,Single,1
20241300,Single,1
20243007,Single,1
20241278,Single,1
20241149,Single,1
20241068,Single,1
20243273,Single,1
20244020,Single,1
20244055,Multiple,2
20241094,Single,1
20243160,Multiple,2
20243209,Single,1
20244001,Single,1
20243243,Single,1
20246016,Single,1
20241119,Multiple,2
20241169,Single,1
20241291,Single,1
20243036,Single,1
20244026,Single,1
20241077,Single,1
20241028,Single,1
20241022,Single,1
20243015,Single,1
20244023,Single,1
20241098,Single,1
20243114,Multiple,2
20241040,Single,1
20241174,Single,1
20241088,Single,1
20241255,Single,1
20241053,Multiple,2
20243046,Multiple,2
20241080,Single,1
20243044,Single,1
20241274,Single,1
20243176,Single,1
20241181,Single,1
20243110,Single,1
20244044,Single,1
20243147,Single,1
20244019,Single,1
20241194,Single,1
20241139,Single,1
20241197,Single,1
20243220,Single,1
20243267,Single,1
20241057,Single,1
20243174,Single,1
20241166,Single,1
20243213,Single,1
20241096,Single,1
20242089,Single,1
20243073,Single,1
20241027,Single,1
20241163,Single,1
20243143,Single,1
20241222,Single,1
20241218,Single,1
20243249,Single,1
20243098,Single,1
20241306,Single,1
20243037,Single,1
20244083,Single,1
20241196,Single,1
20244028,Multiple,2
20243038,Single,1
20242023,Single,1
20242230,Single,1
20242127,Single,1
20242120,Single,1
20241106,Single,1
20241230,Single,1
20241055,Single,1
20241267,Single,1
20242260,Single,1
20242057,Single,1
20243153,Single,1
20242161,Single,1
20241236,Single,1
20243172,Single,1
20241188,Single,1
20243191,Multiple,2
20241256,Multiple,2
20242019,Single,1
20243008,Single,1
20243001,Single,1
20243041,Single,1
20244021,Single,1
20243113,Single,1
20241107,Single,1
20243022,Single,1
20248002,Single,1
20242088,Single,1
20241173,Multiple,2
20241004,Single,1
20246004,Single,1
20241201,Single,1
20241029,Single,1
20243005,Single,1
20241261,Single,1
20244024,Single,1
20241215,Single,1
20243186,Single,1
20243208,Single,1
20241134,Single,1
20243040,Multiple,2
20241263,Single,1
20241302,Single,1
20241147,Single,1
20243248,Single,1
20243096,Single,1
20241150,Single,1
20241247,Single,1
20241234,Single,1
20242110,Single,1
20242052,Single,1
20243247,Single,1
20243144,Single,1
20241235,Single,1
20243087,Multiple,2
20244061,Single,1
20241009,Single,1
20241072,Single,1
20243129,Single,1
20242219,Single,1
20241219,Single,1
20244010,Single,1
20244040,Single,1
20243171,Single,1
20242075,Single,1
20243079,Single,1
20241045,Single,1
20243017,Multiple,2
20241160,Single,1
20241081,Single,1
20241135,Single,1
20241209,Single,1
20242140,Multiple,2
20242142,Single,1
20243107,Single,1
20243020,Single,1
20241151,Single,1
20243158,Single,1
20241286,Single,1
20243102,Single,1
20241303,Single,1
20246029,Single,1
20248005,Single,1
20244018,Single,1
20241060,Multiple,2
20242022,Single,1
20241037,Single,1
20241257,Single,1
20241128,Single,1
20243089,Single,1
20242181,Single,1
20243082,Single,1
20243150,Single,1
20243170,Single,1
20243239,Single,1
20242040,Single,1
20243084,Single,1
20241030,Single,1
20243127,Single,1
20243003,Single,1
20243266,Single,1
20241042,Single,1
20243121,Single,1
20241175,Single,1
20243072,Single,1
20244057,Single,1
20241091,Single,1
20243201,Single,1
20242135,Single,1
20243225,Single,1
20241167,Single,1
20244060,Single,1
20241268,Single,1
20244013,Single,1
20243235,Multiple,2
20244059,Multiple,2
20241266,Single,1
20243131,Single,1
20242080,Single,1
20241287,Single,1
20241152,Single,1
20243161,Single,1
20242042,Single,1
20243210,Single,1
20244025,Single,1
20243088,Single,1
20241211,Multiple,2
20242007,Single,1
20241204,Single,1
20244062,Single,1
20241137,Single,1
20243117,Single,1
20242081,Single,1
20243206,Single,1
20248003,Single,1
20244032,Single,1
20241153,Single,1
20242138,Single,1
20243198,Single,1
20242107,Single,1
20243080,Single,1
20242204,Single,1
20242139,Single,1
20241103,Single,1
20242129,Single,1
20244027,Single,1
20243006,Single,1
20243108,Single,1
20243212,Single,1
20241237,Single,1
20241052,Single,1
20241308,Single,1
20246027,Single,1
20244072,Single,1
20241195,Single,1
20244043,Single,1
20241102,Single,1
20243194,Single,1
20243070,Single,1
20243165,Single,1
20241063,Single,1
20241132,Single,1
20241292,Single,1
20241189,Single,1
20241233,Multiple,4
20242115,Single,1
20242167,Single,1
20241016,Single,1
20243234,Single,1
20246025,Single,1
20241220,Single,1
20241034,Single,1
20242012,Single,1
20243009,Multiple,2
20241269,Single,1
20242093,Single,1
20242176,Single,1
20242255,Single,1
20241066,Single,1
20242175,Single,1
20243207,Single,1
20242029,Single,1
20241246,Single,1
20241078,Single,1
20243064,Single,1
20241013,Multiple,2
20246019,Single,1
20242257,Single,1
20241138,Single,1
20244014,Single,1
20244069,Single,1
20242053,Single,1
20243111,Single,1
20243067,Single,1
20242186,Single,1
20242250,Single,1
20243167,Single,1
20243106,Single,1
20242098,Single,1
20241179,Single,1
20242070,Single,1
20243261,Single,1
20243227,Single,1
20242243,Single,1
20242102,Single,1
20241109,Single,1
20243187,Single,1
20241301,Single,1
20243135,Single,1
20241248,Single,1
20243268,Single,1
20242071,Single,1
20241020,Single,1
20241294,Single,1
20241304,Single,1
20242123,Single,1
20242144,Single,1
20241199,Multiple,2
20243066,Single,1
20243233,Single,1
20243203,Single,1
20242209,Single,1
20242056,Single,1
20242130,Single,1
20243109,Multiple,2
20243010,Single,1
20243181,Single,1
20246018,Single,1
20241071,Single,1
20241186,Single,1
20243078,Single,1
20241223,Single,1
20241221,Single,1
20241143,Single,1
20243242,Single,1
20242189,Single,1
20242170,Single,1
20243043,Single,1
20241140,Single,1
20244063,Single,1
20241131,Single,1
20242172,Single,1
20241111,Single,1
20242055,Single,1
20241017,Single,1
20244067,Single,1
20246024,Single,1
20241254,Multiple,2
20243011,Single,1
20246011,Single,1
20242177,Single,1
20241127,Single,1
20241210,Single,1
20242132,Multiple,2
20242184,Single,1
20241253,Single,1
20243024,Single,1
20242224,Single,1
20243031,Single,1
20242069,Single,1
20243156,Single,1
20242251,Single,1
20244034,Single,1
20242090,Single,1
20243231,Multiple,3
20242194,Single,1
20243142,Single,1
20242043,Single,1
20243124,Single,1
20244007,Single,1
20242060,Single,1
20243104,Single,1
20244041,Single,1
20246026,Single,1
20243021,Single,1
20242155,Single,1
20242032,Single,1
20241285,Single,1
20244066,Single,1
20242064,Single,1
20242164,Single,1
20244035,Single,1
20243018,Single,1
20242086,Single,1
20243217,Single,1
20243251,Single,1
20243058,Single,1
20244046,Single,1
20243085,Single,1
20244039,Single,1
20243240,Single,1
20246002,Multiple,2
20242099,Multiple,2
20243063,Single,1
20241176,Single,1
20247022,Single,1
20241086,Single,1
20241224,Single,1
20241265,Single,1
20241202,Single,1
20246023,Single,1
20241293,Single,1
20241299,Single,1
20244078,Single,1
20243164,Single,1
20242201,Single,1
20241307,Single,1
20242074,Multiple,2
20241243,Multiple,2
20247034,Single,1
20241260,Single,1
20243004,Single,1
20246014,Multiple,2
20242024,Single,1
20243169,Single,1
20243081,Multiple,2
20242169,Single,1
20241110,Single,1
20241082,Single,1
20241159,Single,1
20246022,Single,1
20241229,Single,1
20242026,Single,1
20242268,Single,1
20242238,Single,1
20242122,Single,1
20241046,Multiple,3
20243192,Single,1
20241032,Multiple,2
20241031,Single,1
20243254,Single,1
20243133,Single,1
20241203,Single,1
20243118,Single,1
20243173,Single,1
20243199,Single,1
20244003,Single,1
20241298,Single,1
20242112,Multiple,2
20243092,Single,1
20243042,Single,1
20244005,Single,1
20243178,Single,1
20244050,Single,1
20241208,Single,1
20242259,Single,1
20242212,Single,1
20243019,Single,1
20241036,Single,1
20242226,Single,1
20247007,Single,1
20243074,Single,1
20241003,Single,1
20241277,Single,1
20241249,Single,1
20242020,Single,1
20242108,Single,1
20243120,Single,1
20242187,Single,1
20243116,Multiple,2
20242133,Single,1
20241092,Single,1
20242121,Single,1
20243214,Single,1
20241118,Single,1
20243157,Single,1
20241190,Single,1
20241097,Single,1
20242265,Multiple,2
20241250,Single,1
20242200,Single,1
20242234,Single,1
20242048,Single,1
20242003,Single,1
20243252,Multiple,2
20243061,Single,1
20242162,Single,1
20244071,Single,1
20241047,Single,1
20241205,Single,1
20241024,Single,1
20242096,Single,1
20242240,Single,1
20243139,Single,1
20243075,Single,1
20244051,Single,1
20241070,Single,1
20244079,Single,1
20243051,Multiple,3
20242237,Single,1
20243148,Single,1
20242157,Single,1
20244022,Single,1
20241142,Single,1
20241124,Single,1
20241010,Single,1
20241252,Single,1
20243155,Single,1
20243163,Single,1
20243269,Single,1
20243056,Single,1
20243049,Single,1
20243103,Single,1
20242233,Single,1
20243014,Single,1
20241198,Single,1
20242249,Single,1
20243154,Multiple,3
20241100,Single,1
20241074,Single,1
20243263,Single,1
20242016,Single,1
20244017,Single,1
20244009,Single,1
20242085,Single,1
20244012,Single,1
20243205,Single,1
20241035,Single,1
