State,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,Location ID
NSW,Riverina,Wagga Wagga,Inner Regional Australia,1
NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,2
TAS,Launceston and North East,Northern Midlands,Inner Regional Australia,3
NSW,New England and North West,Armidale,Outer Regional Australia,4
QLD,Toowoomba,Lockyer Valley,Inner Regional Australia,5
SA,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,6
QLD,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,7
TAS,Hobart,Brighton,Inner Regional Australia,8
TAS,Launceston and North East,West Tamar,Outer Regional Australia,9
SA,South Australia - South East,Mid Murray,Outer Regional Australia,10
NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,11
NSW,Capital Region,Upper Lachlan,Inner Regional Australia,12
SA,South Australia - South East,Wattle Range,Outer Regional Australia,13
QLD,Cairns,Cairns,Outer Regional Australia,14
NSW,Illawarra,Wollongong,Major Cities of Australia,15
NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,16
NSW,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,17
QLD,Wide Bay,South Burnett,Outer Regional Australia,18
NSW,Central West,Mid-Western,Outer Regional Australia,19
NSW,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,20
NSW,Murray,Greater Hume,Outer Regional Australia,21
QLD,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,22
SA,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,23
NSW,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,24
QLD,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,25
QLD,Cairns,Douglas,Outer Regional Australia,26
SA,South Australia - South East,Yankalilla,Inner Regional Australia,27
QLD,Logan - Beaudesert,Logan,Major Cities of Australia,28
TAS,Launceston and North East,Dorset,Outer Regional Australia,29
NSW,New England and North West,Armidale,Inner Regional Australia,30
NSW,Mid North Coast,Nambucca Valley,Inner Regional Australia,31
NSW,Far West and Orana,Narromine,Outer Regional Australia,32
QLD,Wide Bay,Fraser Coast,Inner Regional Australia,33
SA,South Australia - Outback,Unincorporated SA,Very Remote Australia,34
NSW,Illawarra,Shellharbour,Major Cities of Australia,35
NSW,New England and North West,Narrabri,Outer Regional Australia,36
QLD,Logan - Beaudesert,Logan,Inner Regional Australia,37
QLD,Queensland - Outback,Cook,Remote Australia,38
NSW,New England and North West,Tenterfield,Outer Regional Australia,39
NSW,Central Coast,Central Coast (NSW),Major Cities of Australia,40
NSW,New England and North West,Tamworth,Outer Regional Australia,41
NSW,Capital Region,Hilltops,Inner Regional Australia,42
NSW,Central West,Forbes,Outer Regional Australia,43
QLD,Toowoomba,Toowoomba,Inner Regional Australia,44
NSW,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,45
QLD,Central Queensland,Livingstone,Remote Australia,46
NSW,Sydney - Blacktown,Blacktown,Major Cities of Australia,47
NSW,Murray,Balranald,Outer Regional Australia,48
QLD,Queensland - Outback,Lockhart River,Very Remote Australia,49
SA,Barossa - Yorke - Mid North,Light,Inner Regional Australia,50
QLD,Cairns,Cassowary Coast,Outer Regional Australia,51
SA,South Australia - Outback,Tumby Bay,Remote Australia,52
NSW,Sydney - South West,Liverpool,Major Cities of Australia,53
NSW,Sydney - Parramatta,Cumberland,Major Cities of Australia,54
NSW,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,55
QLD,Moreton Bay - North,Moreton Bay,Inner Regional Australia,56
NSW,Richmond - Tweed,Ballina,Inner Regional Australia,57
NSW,Richmond - Tweed,Kyogle,Inner Regional Australia,58
QLD,Wide Bay,Bundaberg,Inner Regional Australia,59
VIC,Melbourne - Inner,Melbourne,Major Cities of Australia,60
QLD,Brisbane - South,Brisbane,Major Cities of Australia,61
NSW,Riverina,Snowy Valleys,Outer Regional Australia,62
QLD,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,63
NSW,Sydney - South West,Fairfield,Major Cities of Australia,64
NSW,Capital Region,Yass Valley,Inner Regional Australia,65
QLD,Central Queensland,Central Highlands (Qld),Remote Australia,66
NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,67
