Month,Year,Dayweek,Time,Time of day,Day of week,Christmas Period,Easter Period,Time ID
12,2024,Friday,4:00,Night,Weekday,Yes,No,1
12,2024,Friday,6:15,Day,Weekday,No,No,2
12,2024,Friday,9:43,Day,Weekday,Yes,No,3
12,2024,Friday,10:35,Day,Weekday,No,No,4
12,2024,Friday,13:00,Day,Weekday,No,No,5
12,2024,Friday,13:39,Day,Weekday,Yes,No,6
12,2024,Friday,19:00,Night,Weekend,No,No,7
12,2024,Friday,19:30,Night,Weekend,No,No,8
12,2024,Friday,19:40,Night,Weekend,No,No,9
12,2024,Friday,22:42,Night,Weekend,No,No,10
12,2024,Friday,23:00,Night,Weekend,No,No,11
12,2024,Friday,23:10,Night,Weekend,No,No,12
12,2024,Monday,1:00,Night,Weekend,No,No,13
12,2024,Monday,9:00,Day,Weekday,No,No,14
12,2024,Monday,10:48,Day,Weekday,No,No,15
12,2024,Monday,12:05,Day,Weekday,Yes,No,16
12,2024,Monday,13:58,Day,Weekday,No,No,17
12,2024,Monday,14:00,Day,Weekday,Yes,No,18
12,2024,Monday,14:43,Day,Weekday,No,No,19
12,2024,Monday,16:00,Day,Weekday,No,No,20
12,2024,Saturday,3:30,Night,Weekend,No,No,21
12,2024,Saturday,4:00,Night,Weekend,No,No,22
12,2024,Saturday,10:25,Day,Weekend,No,No,23
12,2024,Saturday,10:36,Day,Weekend,Yes,No,24
12,2024,Saturday,12:10,Day,Weekend,Yes,No,25
12,2024,Saturday,14:00,Day,Weekend,Yes,No,26
12,2024,Saturday,14:50,Day,Weekend,Yes,No,27
12,2024,Saturday,15:00,Day,Weekend,No,No,28
12,2024,Saturday,15:18,Day,Weekend,No,No,29
12,2024,Saturday,15:25,Day,Weekend,No,No,30
12,2024,Saturday,21:30,Night,Weekend,No,No,31
12,2024,Sunday,2:00,Night,Weekend,No,No,32
12,2024,Sunday,4:00,Night,Weekend,No,No,33
12,2024,Sunday,6:35,Day,Weekend,No,No,34
12,2024,Sunday,8:09,Day,Weekend,No,No,35
12,2024,Sunday,8:20,Day,Weekend,No,No,36
12,2024,Sunday,11:20,Day,Weekend,No,No,37
12,2024,Sunday,12:00,Day,Weekend,No,No,38
12,2024,Sunday,12:35,Day,Weekend,No,No,39
12,2024,Sunday,12:50,Day,Weekend,No,No,40
12,2024,Sunday,13:00,Day,Weekend,No,No,41
12,2024,Sunday,14:15,Day,Weekend,No,No,42
12,2024,Sunday,14:48,Day,Weekend,No,No,43
12,2024,Sunday,16:00,Day,Weekend,No,No,44
12,2024,Sunday,18:20,Night,Weekend,No,No,45
12,2024,Sunday,22:19,Night,Weekend,No,No,46
12,2024,Sunday,23:00,Night,Weekend,No,No,47
12,2024,Thursday,1:39,Night,Weekday,No,No,48
12,2024,Thursday,12:00,Day,Weekday,No,No,49
12,2024,Thursday,15:40,Day,Weekday,No,No,50
12,2024,Tuesday,4:00,Night,Weekday,Yes,No,51
12,2024,Tuesday,8:30,Day,Weekday,Yes,No,52
12,2024,Tuesday,11:00,Day,Weekday,Yes,No,53
12,2024,Tuesday,13:30,Day,Weekday,No,No,54
12,2024,Tuesday,15:00,Day,Weekday,No,No,55
12,2024,Tuesday,18:30,Night,Weekday,Yes,No,56
12,2024,Tuesday,21:10,Night,Weekday,No,No,57
12,2024,Tuesday,22:55,Night,Weekday,No,No,58
12,2024,Tuesday,23:55,Night,Weekday,No,No,59
12,2024,Wednesday,0:00,Night,Weekday,Yes,No,60
12,2024,Wednesday,4:00,Night,Weekday,No,No,61
12,2024,Wednesday,12:25,Day,Weekday,No,No,62
12,2024,Wednesday,16:00,Day,Weekday,Yes,No,63
12,2024,Wednesday,17:00,Day,Weekday,Yes,No,64
11,2024,Friday,2:00,Night,Weekday,No,No,65
11,2024,Friday,4:44,Night,Weekday,No,No,66
11,2024,Friday,7:05,Day,Weekday,No,No,67
11,2024,Friday,10:00,Day,Weekday,No,No,68
11,2024,Friday,10:50,Day,Weekday,No,No,69
11,2024,Friday,12:42,Day,Weekday,No,No,70
11,2024,Friday,13:00,Day,Weekday,No,No,71
11,2024,Friday,14:30,Day,Weekday,No,No,72
11,2024,Friday,17:30,Day,Weekday,No,No,73
11,2024,Friday,18:00,Night,Weekend,No,No,74
11,2024,Friday,20:00,Night,Weekend,No,No,75
11,2024,Friday,22:35,Night,Weekend,No,No,76
11,2024,Monday,6:00,Day,Weekday,No,No,77
11,2024,Monday,6:23,Day,Weekday,No,No,78
11,2024,Monday,11:30,Day,Weekday,No,No,79
11,2024,Monday,12:12,Day,Weekday,No,No,80
11,2024,Monday,14:00,Day,Weekday,No,No,81
11,2024,Monday,14:20,Day,Weekday,No,No,82
11,2024,Monday,15:05,Day,Weekday,No,No,83
11,2024,Monday,15:07,Day,Weekday,No,No,84
11,2024,Monday,15:08,Day,Weekday,No,No,85
11,2024,Monday,15:38,Day,Weekday,No,No,86
11,2024,Monday,16:30,Day,Weekday,No,No,87
11,2024,Monday,17:57,Day,Weekday,No,No,88
11,2024,Monday,20:00,Night,Weekday,No,No,89
11,2024,Monday,23:10,Night,Weekday,No,No,90
11,2024,Saturday,5:20,Night,Weekend,No,No,91
11,2024,Saturday,9:00,Day,Weekend,No,No,92
11,2024,Saturday,9:25,Day,Weekend,No,No,93
11,2024,Saturday,10:00,Day,Weekend,No,No,94
